Date,Tweet_ID,Username,Raw Text,Likes,Retweets,is_fire,is_forest,is_urban,Light Cleaned Text,Advanced Cleaned Text,Hard Cleaned Text,Fire Probability,Predicted Label,is_wildland_pred,is_urban_pred
Mon Aug 12 23:50:55 +0000 2024,1823145170163892515,enikos.gr,Φωτιά στην Αττική: Αναζωπύρωση μετά τα μεσάνυχτα στο Αστεροσκοπείο https://t.co/7X5kBwZ9yK,2,2,,,,Φωτιά στην Αττική: Αναζωπύρωση μετά τα μεσάνυχτα στο Αστεροσκοπείο,φωτια στην αττικη: αναζωπυρωση μετα τα μεσανυχτα στο αστεροσκοπειο,φωτια αττικος αναζωπυρωση μεσανυχτα αστεροσκοπειο,0.985,1,0,0
Mon Aug 12 23:50:43 +0000 2024,1823145121136742787,Υπεύθυνος του Τουήτερ,"@novelifinel @kmitsotakis Δηλαδή σύμφωνα με το συλλογισμό αυτό, η φωτιά στο Μάτι μπήκε από θλιβερά ανθρωπάκια για να φύγει ο Τσίπρας από την εξουσία; Μολογάτε χωρίς ξύλο!",8,1,,,,"Δηλαδή σύμφωνα με το συλλογισμό αυτό, η φωτιά στο Μάτι μπήκε από θλιβερά ανθρωπάκια για να φύγει ο Τσίπρας από την εξουσία; Μολογάτε χωρίς ξύλο!","δηλαδη συμφωνα με το συλλογισμο αυτο, η φωτια στο ματι μπηκε απο θλιβερα ανθρωπακια για να φυγει ο τσιπρας απο την εξουσια; μολογατε χωρις ξυλο!",συμφωνα συλλογισμος φωτια ματι μπηκε θλιβερος ανθρωπακι φυγει τσιπρας εξουσια μολογατε ξυλο,0.006,0,0,0
Mon Aug 12 23:50:15 +0000 2024,1823145003067056398,Κρικκος του Πετφορτ,@masselogiatros Πηδά η φωτιά κ σούβλες έτοιμες… αυτο ήθελε να πει η ουρσουλα.,1,0,,,,Πηδά η φωτιά κ σούβλες έτοιμες… αυτο ήθελε να πει η ουρσουλα.,πηδα η φωτια κ σουβλες ετοιμες… αυτο ηθελε να πει η ουρσουλα.,πηδα φωτια κ σουβλα ετοιμος αυτος θελω λεγω ουρσουλα,0.006,0,0,0
Mon Aug 12 23:49:26 +0000 2024,1823144796132606411,Unleashed,"Ρε μην είστε ζώα. Όταν εγκαταλείπετε τα σπίτια σας λόγω έκτακτου περιστατικού, μην αφήνετε πίσω τα κατοικίδια σας να καούν ζωντανά. ΖΩΑ #φωτιατωρα #φωτιά",19,3,,,,"Ρε μην είστε ζώα. Όταν εγκαταλείπετε τα σπίτια σας λόγω έκτακτου περιστατικού, μην αφήνετε πίσω τα κατοικίδια σας να καούν ζωντανά. ΖΩΑ #φωτιατωρα #φωτιά","ρε μην ειστε ζωα. οταν εγκαταλειπετε τα σπιτια σας λογω εκτακτου περιστατικου, μην αφηνετε πισω τα κατοικιδια σας να καουν ζωντανα. ζωα #φωτιατωρα #φωτια",ρε ζωο εγκαταλειπετε σπιτι εκτακτος περιστατικος αφηνω κατοικιδιο καουν ζωντανα ζωα φωτιατωρα φωτια,0.008,0,0,0
Mon Aug 12 23:49:08 +0000 2024,1823144718957785471,enikos.gr,Φωτιά στην Αττική: Οι διαθέσιμοι χώροι φιλοξενίας για τους πυρόπληκτους https://t.co/M7LSbcSTW1,6,2,,,,Φωτιά στην Αττική: Οι διαθέσιμοι χώροι φιλοξενίας για τους πυρόπληκτους,φωτια στην αττικη: οι διαθεσιμοι χωροι φιλοξενιας για τους πυροπληκτους,φωτια αττικος διαθεσιμοι χωρος φιλοξενια πυροπληκτους,0.075,0,0,0
Mon Aug 12 23:48:15 +0000 2024,1823144500203561117,mononewsgr,Φωτιά στην Αττική: Στο Συντονιστικό Κέντρο Επιχειρήσεων ο Μητσοτάκης - https://t.co/Odg3kV6Kz8 #mononewsGR https://t.co/WON18zgYbc,1,0,,,,Φωτιά στην Αττική: Στο Συντονιστικό Κέντρο Επιχειρήσεων ο Μητσοτάκης - #mononewsGR,φωτια στην αττικη: στο συντονιστικο κεντρο επιχειρησεων ο μητσοτακης - #mononewsgr,φωτια αττικος συντονιστικο κεντρο επιχειρησεων μητσοτακης mononews gr,0.934,1,0,1
Mon Aug 12 23:48:04 +0000 2024,1823144452510413271,Τηλέμαχος- Σταύρος Γαλάνης,Γλυφάδα: Συνελήφθησαν δύο νεαροί που φέρονται να έβαλαν τη φωτιά στην Τερψιθέα https://t.co/fKAMnkEzEf,0,0,,,,Γλυφάδα: Συνελήφθησαν δύο νεαροί που φέρονται να έβαλαν τη φωτιά στην Τερψιθέα,γλυφαδα: συνεληφθησαν δυο νεαροι που φερονται να εβαλαν τη φωτια στην τερψιθεα,γλυφαδα συνεληφθησαν δυο νεαρος φερω εβαλαν φωτια τερψιθεα,0.238,0,0,0
Mon Aug 12 23:47:58 +0000 2024,1823144425213882796,pi𝕏els α𝕏νιστά,@3a5b241b5195494 @ai_katerina Που θα το χτίσουμε ξέρεις; Σε κάποια έρημο; Το λέω γιατί φέτος κάηκε μέχρι και η με ελάχιστη βλάστηση Σέριφος. Για πολλοστή φορά η φωτιά έσβησε στη θάλασσα.,0,0,,,,Που θα το χτίσουμε ξέρεις; Σε κάποια έρημο; Το λέω γιατί φέτος κάηκε μέχρι και η με ελάχιστη βλάστηση Σέριφος. Για πολλοστή φορά η φωτιά έσβησε στη θάλασσα.,που θα το χτισουμε ξερεις; σε καποια ερημο; το λεω γιατι φετος καηκε μεχρι και η με ελαχιστη βλαστηση σεριφος. για πολλοστη φορα η φωτια εσβησε στη θαλασσα.,χτισουμε ξερεις ερημος λεω φετος καηκε ελαχιστος βλαστηση σεριφος πολλοστης φορα φωτια εσβησε θαλασσα,0.052,0,0,0
Mon Aug 12 23:46:51 +0000 2024,1823144146183258599,beep_beep,Πώς πάει η φωτιά; https://t.co/5mxjwAampf,7,7,,,,Πώς πάει η φωτιά;,πως παει η φωτια;,παει φωτια,0.011,0,0,0
Mon Aug 12 23:46:28 +0000 2024,1823144049634611313,Manos Manos,@AdonisGeorgiadi Αντε και στην εκκένωση των αποβλήτων και από το...Σύνταγμα...,0,0,,,,Αντε και στην εκκένωση των αποβλήτων και από το...Σύνταγμα...,αντε και στην εκκενωση των αποβλητων και απο το...συνταγμα...,αντε εκκενωση αποβλητων συνταγμα,0.012,0,0,0
Mon Aug 12 23:45:15 +0000 2024,1823143744322871647,Τηλέμαχος- Σταύρος Γαλάνης,"Φωτιά στην Αττική: Εξασθενημένοι οι άνεμοι τη νύχτα, μάχη με επίγειες δυνάμεις - Προσοχή τα ξημερώματα, λέει ο Κολυδάς https://t.co/olgAxfehjh",0,0,,,,"Φωτιά στην Αττική: Εξασθενημένοι οι άνεμοι τη νύχτα, μάχη με επίγειες δυνάμεις - Προσοχή τα ξημερώματα, λέει ο Κολυδάς","φωτια στην αττικη: εξασθενημενοι οι ανεμοι τη νυχτα, μαχη με επιγειες δυναμεις - προσοχη τα ξημερωματα, λεει ο κολυδας",φωτια αττικος εξασθενημενοι ανεμος νυχτα μαχη επιγειος δυναμη προσοχη ξημερωματα λεει κολυδας,0.97,1,0,0
Mon Aug 12 23:45:13 +0000 2024,1823143737062572284,Μπογιόπουλος Νίκος,"@NIKSOTIROPOYLOS Πρέπει να είσαι μεγάλος γλίτσας, να καίγεται η χώρα και εσύ να σκέφτεσαι πως θα γλείψεις την κυβέρνηση.",87,7,,,,"Πρέπει να είσαι μεγάλος γλίτσας, να καίγεται η χώρα και εσύ να σκέφτεσαι πως θα γλείψεις την κυβέρνηση.","πρεπει να εισαι μεγαλος γλιτσας, να καιγεται η χωρα και εσυ να σκεφτεσαι πως θα γλειψεις την κυβερνηση.",μεγαλος γλιτσας καιω χωρα σκεφτεσαι γλειψεις κυβερνηση,0.005,0,0,0
Mon Aug 12 23:45:00 +0000 2024,1823143681903235217,Thanos,"Μακάρι φωτιά αποκλειστικά στο σπίτι σου και να καείς ζωντανός, έμμισθο μποτάκι",3,1,,,,"Μακάρι φωτιά αποκλειστικά στο σπίτι σου και να καείς ζωντανός, έμμισθο μποτάκι","μακαρι φωτια αποκλειστικα στο σπιτι σου και να καεις ζωντανος, εμμισθο μποτακι",φωτια αποκλειστικα σπιτι καεις ζωντανος εμμισθο μποτακι,0.009,0,0,0
Mon Aug 12 23:44:25 +0000 2024,1823143535475855700,Soto De la Grecia♉,"@AnnaChatzisofia Kαι πόσους νεκρούς είχε τελικά,αυτή η φωτιά ,μωρή πατσαβούρα Συριζαία,που τολμάτε και μιλάτε?",6,0,,,,"Kαι πόσους νεκρούς είχε τελικά,αυτή η φωτιά ,μωρή πατσαβούρα Συριζαία,που τολμάτε και μιλάτε?","kαι ποσους νεκρους ειχε τελικα,αυτη η φωτια ,μωρη πατσαβουρα συριζαια,που τολματε και μιλατε?",kαι νεκρος φωτια μωρη πατσαβουρα συριζαια τολματε μιλατε,0.007,0,0,0
Mon Aug 12 23:44:09 +0000 2024,1823143465448034358,john kountouris,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική  https://t.co/6Tkrk8ieLj,2,2,,,,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική,#φωτιεςστηναττικη: βρεθηκε #απανθρακωμενη #σορος γυναικας σε #βιοτεχνια που καηκε στο #χαλανδρι // #ελλαδα #βριλησσια #φλογες #φωτια #φωτιες #πυρκαγιες #πεντελη #βριλησσια #greece #fires #losangeles #αττικη,φωτιες αττικος βρεθηκε απανθρακωμενη σορος γυναικα βιοτεχνια καηκε χαλανδρι ελλαδα βριλησσια φλογα φωτια φωτια πυρκαγιες πεντελη βριλησσια greece fires los angeles αττικος,0.219,0,0,0
Mon Aug 12 23:43:51 +0000 2024,1823143391628255267,Greek News on Demand,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες  #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική  https://t.co/CtSoxIuVbz,1,1,,,,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική,#φωτιεςστηναττικη: βρεθηκε #απανθρακωμενη #σορος γυναικας σε #βιοτεχνια που καηκε στο #χαλανδρι // #ελλαδα #βριλησσια #φλογες #φωτια #φωτιες #πυρκαγιες #πεντελη #βριλησσια #greece #fires #losangeles #αττικη,φωτιες αττικος βρεθηκε απανθρακωμενη σορος γυναικα βιοτεχνια καηκε χαλανδρι ελλαδα βριλησσια φλογα φωτια φωτια πυρκαγιες πεντελη βριλησσια greece fires los angeles αττικος,0.219,0,0,0
Mon Aug 12 23:43:08 +0000 2024,1823143209993957737,Daphne Tolis,"Γλυφάδα: «Τη βάλαμε για παιχνίδι», δήλωσαν οι δύο ανήλικοι που συνελήφθησαν για τη #φωτιά  https://t.co/nep7foTHs2",4,0,,,,"Γλυφάδα: «Τη βάλαμε για παιχνίδι», δήλωσαν οι δύο ανήλικοι που συνελήφθησαν για τη #φωτιά","γλυφαδα: «τη βαλαμε για παιχνιδι», δηλωσαν οι δυο ανηλικοι που συνεληφθησαν για τη #φωτια",γλυφαδα βαλαμε παιχνιδι δηλωσαν δυο ανηλικος συνεληφθησαν φωτια,0.02,0,0,0
Mon Aug 12 23:41:43 +0000 2024,1823142853867913650,Lumines,"😍🥹😍🥹😍 Ανθρωπιά!!! And if you don’t know what that means, look it up.  #Greece  #GreeceFires  @kmitsotakis Κάθε χρονιά και χειρότερα! Τι πρέπει να γίνει δηλαδή, να βάλουμε στο σπίτι σου φωτιά να καταλάβεις?!???",3,0,,,,"Ανθρωπιά! And if you don’t know what that means, look it up. #Greece #GreeceFires Κάθε χρονιά και χειρότερα! Τι πρέπει να γίνει δηλαδή, να βάλουμε στο σπίτι σου φωτιά να καταλάβεις!?","ανθρωπια! and if you don’t know what that means, look it up. #greece #greecefires καθε χρονια και χειροτερα! τι πρεπει να γινει δηλαδη, να βαλουμε στο σπιτι σου φωτια να καταλαβεις!?",ανθρωπια and if you don t know what that means look it up greece greece fires χρονια χειροτερα γινομαι βαλω σπιτι φωτια καταλαβεις,0.008,0,0,0
Mon Aug 12 23:40:58 +0000 2024,1823142664956674483,𝕁𝕠 𝔻𝕚 🏳️‍🌈,🔥 Σχεδόν 4.000.000 στρέμματα κάηκαν τα τελευταία 5 χρόνια   🗺️ Αυτή η έκταση ισοδυναμεί με το 3% της συνολικής έκτασης της χώρας  🔴 Η ίδια έκταση θα χρειαζόταν 15 χρόνια να καεί με βάση το μέσο όρο καμένων στρεμμάτων από το 2008-2018  ❌2⃣ Διπλάσια έκταση καμένων ανά πυρκαγιά https://t.co/pMiJk6rQst,514,305,,,,Σχεδόν 4.000.000 στρέμματα κάηκαν τα τελευταία 5 χρόνια Αυτή η έκταση ισοδυναμεί με το 3% της συνολικής έκτασης της χώρας Η ίδια έκταση θα χρειαζόταν 15 χρόνια να καεί με βάση το μέσο όρο καμένων στρεμμάτων από το 2008-2018 Διπλάσια έκταση καμένων ανά πυρκαγιά,σχεδον 4.000.000 στρεμματα καηκαν τα τελευταια 5 χρονια αυτη η εκταση ισοδυναμει με το 3% της συνολικης εκτασης της χωρας η ιδια εκταση θα χρειαζοταν 15 χρονια να καει με βαση το μεσο ορο καμενων στρεμματων απο το 2008-2018 διπλασια εκταση καμενων ανα πυρκαγια,στρεμματα καηκαν χρονος εκταση ισοδυναμω συνολικος εκταση χωρα εκταση χρειαζοταν χρονος καει βαση μεσος ορος καμενων στρεμματων διπλασια εκταση καμενων πυρκαγια,0.032,0,0,0
Mon Aug 12 23:39:17 +0000 2024,1823142243110174723,enikos.gr,Σπέτσες: Φωτιά σε πλοίο στο παλιό λιμάνι – ΒΙΝΤΕΟ https://t.co/wfU38juepR,0,0,,,,Σπέτσες: Φωτιά σε πλοίο στο παλιό λιμάνι – ΒΙΝΤΕΟ,σπετσες: φωτια σε πλοιο στο παλιο λιμανι – βιντεο,σπετσες φωτια πλοιο παλιος λιμανι βιντεο,0.989,1,0,1
Mon Aug 12 23:38:56 +0000 2024,1823142155466219969,🔻 GoodGuts 🔻,"@blacktom1961 Στις δασικές πυρκαγιές δεν σβήνεις την φωτιά αλλά την σταματάς είτε με ψύξη του χώρου με νερό,  είτε με αποψίλωση.",0,0,,,,"Στις δασικές πυρκαγιές δεν σβήνεις την φωτιά αλλά την σταματάς είτε με ψύξη του χώρου με νερό, είτε με αποψίλωση.","στις δασικες πυρκαγιες δεν σβηνεις την φωτια αλλα την σταματας ειτε με ψυξη του χωρου με νερο, ειτε με αποψιλωση.",δασικος πυρκαγιες σβηνεις φωτια σταματας ψυξη χωρος νερο αποψιλωση,0.009,0,0,0
Mon Aug 12 23:37:36 +0000 2024,1823141818491379837,Thomas X,@chris_avramidis Ας καταργήσουμε την πυροσβεστική και να βάλουμε αλληλέγγυους να μας προστατεύουν...,0,0,,,,Ας καταργήσουμε την πυροσβεστική και να βάλουμε αλληλέγγυους να μας προστατεύουν...,ας καταργησουμε την πυροσβεστικη και να βαλουμε αλληλεγγυους να μας προστατευουν...,καταργω πυροσβεστικος βαλω αλληλεγγυος προστατευω,0.005,0,0,0
Mon Aug 12 23:36:12 +0000 2024,1823141466840903797,Protothema.gr,"Αστεροσκοπείο Αθηνών: Αναζωπύρωση στις εγκαταστάσεις μετά τα μεσάνυχτα, εντοπίστηκε και κατεστάλη έγκαιρα https://t.co/SWHEGRv8yW https://t.co/EdHKwIse0W",4,1,,,,"Αστεροσκοπείο Αθηνών: Αναζωπύρωση στις εγκαταστάσεις μετά τα μεσάνυχτα, εντοπίστηκε και κατεστάλη έγκαιρα","αστεροσκοπειο αθηνων: αναζωπυρωση στις εγκαταστασεις μετα τα μεσανυχτα, εντοπιστηκε και κατεσταλη εγκαιρα",αστεροσκοπειο αθηνων αναζωπυρωση εγκατασταση μεσανυχτα εντοπιστηκε κατεσταλη,0.606,1,0,1
